SMEFT_mW_MFV_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/SMEFT/SMEFT_mW_MFV_UFO.zip
DMspin2			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/Spin2//DMspin2.tar.gz
loop_qcd_qed_sm_a0			./loop_qcd_qed_sm_a0.tgz
loop_qcd_qed_sm_Gmu			./loop_qcd_qed_sm_Gmu.tgz
loop_qcd_qed_sm_Gmu_4FS			./loop_qcd_qed_sm_Gmu_4FS.tgz
loop_qcd_qed_sm_4FS			./loop_qcd_qed_sm_4FS.tgz
loop_qcd_qed_sm_Gmu_forSudakov          ./loop_qcd_qed_sm_Gmu_forSudakov.tgz
loop_qcd_qed_sm_forSudakov          ./loop_qcd_qed_sm_forSudakov.tgz
DMsimp_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/DMsimp/DMsimp_UFO.2.zip
MLFV_Type-III_See-Saw_Model_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/MLFVtIIIseesaw/mlfvt3ss.tgz
DMSimp_t			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/DMsimpt/dmsimpt_v1.3.ufo.tgz
Sextet_Diquarks_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/Sextets/Sextet_Diquarks_UFO.tgz
1.5_TeV_Leptoquark_Model_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/VecLepQrk/1.5TeVLQ.zip
ChernSimons_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/ChernSimonsPortal/ChernSimons_UFO.zip
Top_Philic_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/Top-Philic-Zprime/Top_Philic_UFO.zip
SM_NLO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/StandardModel/SM_NLO.tar.gz
SM_Plus_Scalars_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/StandardModelScalars/SM_Plus_Scalars_UFO.tgz
SM_LT012_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/AnomalousGaugeCoupling/SM_LT012_UFO.tgz
SMEFT_alpha_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/SMEFT/SMEFT_alpha_UFO.zip
EWdim6			./EWdim6.tgz
HEFT_DH_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/NLOModels/HEFT_DH_UFO.tar.gz
4th_Generation_Complex_CKM_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/FourthGeneration/4th_Generation_Complex_CKM_UFO.tgz
uutt_sch_4fermion			./uutt_sch_4fermion.tgz
MSSMD_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/MSSMD/MSSMD_UFO.zip
ttgamma_separated			https://gitlab.cern.ch/ankirchh/ttgamma_separated/raw/master/ttgamma_separated.tar.gz
Abelian_Higgs_Model_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/HiddenAbelianHiggsModel/Abelian_Higgs_Model_UFO.tgz
VLQ_v4_5FNS_UFO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/NLOModels/vlq_v4_5fns.ufo.tgz
2HDMtII_NLO			http://feynrules.irmp.ucl.ac.be/raw-attachment/wiki/2HDM/2HDMtII_NLO.tar.gz
